model_a,model_b,dm_stat,p_value,significant_005,significant_bonf
rf_05,xgb_05,8.599495852749502,0.0,True,True
rf_05,xgb_grid_08,7.741241626339026,9.769962616701378e-15,True,True
rf_05,xgb_random_08,8.798066143613227,0.0,True,True
rf_05,xgb_optuna_08,9.407714397110881,0.0,True,True
rf_05,xgb_deap_08,6.105198223018892,1.0267318106826906e-09,True,True
svr_05,xgb_05,33.82237562856625,0.0,True,True
svr_05,xgb_grid_08,33.83493680941052,0.0,True,True
svr_05,xgb_random_08,33.81462855190265,0.0,True,True
svr_05,xgb_optuna_08,33.876988675781625,0.0,True,True
svr_05,xgb_deap_08,33.78583128076225,0.0,True,True
xgb_05,xgb_grid_08,-0.6323149112214785,0.5271811218652724,False,False
xgb_05,xgb_random_08,-1.1853404172337902,0.23588287933631347,False,False
xgb_05,xgb_optuna_08,4.729601098883103,2.2496140914540774e-06,True,True
xgb_05,xgb_deap_08,-2.130013931541417,0.033170463209299506,True,False
xgb_grid_08,xgb_random_08,-0.28136378346467017,0.7784313931228515,False,False
xgb_grid_08,xgb_optuna_08,3.693514260389816,0.00022117610083305372,True,True
xgb_grid_08,xgb_deap_08,-1.5710987701057517,0.11615970825323618,False,False
xgb_random_08,xgb_optuna_08,4.7750270131857055,1.7968313330563035e-06,True,True
xgb_random_08,xgb_deap_08,-1.2901903633111131,0.19698457121754398,False,False
xgb_optuna_08,xgb_deap_08,-5.438734599446326,5.366031885500888e-08,True,True
